min,max,author_name,file,New Date
saec. II , I a.,A. Furius Antias,A. Furius Antias.csv,-50
34,62,A. Persius Flaccus,A. Persius Flaccus.csv,62
saec. V in.,NA,"Achilleus, episcopus Spoletanus","Achilleus, episcopus Spoletanus.csv",400
† 16 a.,NA,"Aemilius Macer, Veronensis","Aemilius Macer, Veronensis.csv",-16
saec. V?,NA,"Agrestius, episcopus Gallus","Agrestius, episcopus Gallus.csv",400
Ovidii amicus,NA,Albinouanus Pedo,Albinouanus Pedo.csv,18
saec. III , IV,Albinus,Albinus.csv,300
fere 50 , 19 a.,Albius Tibullus,Albius Tibullus.csv,-19
† 518,NA,"Alcimus Ecdicius Auitus, episcopus Viennensis","Alcimus Ecdicius Auitus, episcopus Viennensis.csv",518
aetate Hadriani,NA,Alfius Auitus,Alfius Auitus.csv,138
339,397,"Ambrosius, episcopus Mediolanensis","Ambrosius, episcopus Mediolanensis.csv",397
† 524,NA,Anicius Manlius Seuerinus Boethius,Anicius Manlius Seuerinus Boethius.csv,524
saec. II,NA,Annianus,Annianus.csv,150
aetatis incertae,NA,appendix Vergiliana,appendix Vergiliana.csv,50
ante Varronem,NA,Aprissius,Aprissius.csv,0
saec. VI me.,NA,"Arator, subdiaconus ecclesiae Romanae","Arator, subdiaconus ecclesiae Romanae.csv",550
aetate Augusti,NA,Arbonius Silo,Arbonius Silo.csv,14
aetate Antoninorum,NA,argumenta Plauti comoediarum,argumenta Plauti comoediarum.csv,180
aetate Diocletiani,NA,"Arnobius, rhetor Africanus","Arnobius, rhetor Africanus.csv",305
aetate Neronis,NA,Attius Labeo,Attius Labeo.csv,68
saec. V in.,NA,Auianus,Auianus.csv,400
354,430,"Aurelius Augustinus, episcopus Hipponensis","Aurelius Augustinus, episcopus Hipponensis.csv",430
348, post 405,Aurelius Prudentius Clemens,Aurelius Prudentius Clemens.csv,405
saec. V me.,NA,"Auspicius, episcopus Tullensis","Auspicius, episcopus Tullensis.csv",450
cos. 431,NA,Bassus iunior,Bassus iunior.csv,431
saec. V ex.,NA,"Blossius Aemilius Dracontius, Carthaginiensis","Blossius Aemilius Dracontius, Carthaginiensis.csv",499
aetate Constantini,NA,C. Annius Tiberianus,C. Annius Tiberianus.csv,337
"cos. 8 a., † 33 p.",NA,C. Asinius Gallus,C. Asinius Gallus.csv,33
76 a. , 4 p.,C. Asinius Pollio,C. Asinius Pollio.csv,4
† 8 a.,NA,C. Cilnius Maecenas,C. Cilnius Maecenas.csv,-8
† 26 a.,NA,C. Cornelius Gallus,C. Cornelius Gallus.csv,-26
Catulli amicus,NA,C. Heluius Cinna,C. Heluius Cinna.csv,-55
† 87 a.,NA,C. Iulius Caesar Strabo,C. Iulius Caesar Strabo.csv,-87
100, 44 a.,C. Iulius Caesar,C. Iulius Caesar.csv,-44
Catulli aequalis,NA,C. Licinius Macer Caluus,C. Licinius Macer Caluus.csv,-55
fere 61 ,112,C. Plinius Caecilius Secundus,C. Plinius Caecilius Secundus.csv,112
fere 431 ,486,C. Sollius Modestus Apollinaris Sidonius,C. Sollius Modestus Apollinaris Sidonius.csv,486
saec. II,NA,"C. Sulpicius Apollinaris, grammaticus","C. Sulpicius Apollinaris, grammaticus.csv",150
fere 85 , 55 a.,"C. Valerius Catullus, Veronensis","C. Valerius Catullus, Veronensis.csv",55
saec. IV,NA,"C. Vettius Aquilinus Iuuencus, presbyter","C. Vettius Aquilinus Iuuencus, presbyter.csv",350
saec. V in.?,NA,"Caelius Aurelianus, medicus","Caelius Aurelianus, medicus.csv",300
Persii amicus,NA,Caesius Bassus,Caesius Bassus.csv,62
cos. 514 † 580,NA,Cassiodorus Senator,Cassiodorus Senator.csv,580
saec. IV?,NA,Chalcidius philosophus,Chalcidius philosophus.csv,300
regn. 636 ,640,"Chintila, rex Visigothorum","Chintila, rex Visigothorum.csv",636
saec. V in.,NA,"Cl. Marius Victor, orator Massiliensis","Cl. Marius Victor, orator Massiliensis.csv",400
saec. IV , V in.,Claudius Claudianus,Claudius Claudianus.csv,400
37,68,"Claudius Nero, imperator","Claudius Nero, imperator.csv",68
"cos. 26 p., † 39",NA,Cn. Cornelius Lentulus Gaetulicus,Cn. Cornelius Lentulus Gaetulicus.csv,39
521,597,"Columba, abbas Hiensis","Columba, abbas Hiensis.csv",597
543,615,"Columbanus, abbas Bobiensis","Columbanus, abbas Bobiensis.csv",615
saec. III?,NA,Commodianus,Commodianus.csv,250
saec. II , I a.,comoediae incertorum,comoediae incertorum.csv,-50
Ovidii amicus,NA,Cornelius Seuerus,Cornelius Seuerus.csv,18
saec. V in.,NA,Cyprianus Gallus poeta,Cyprianus Gallus poeta.csv,400
sedit 524 ,526,"Cyprianus, episcopus Tolonensis","Cyprianus, episcopus Tolonensis.csv",526
saec. V in.,NA,"Cytherius rhetor, familiaris Paulini Nolani","Cytherius rhetor, familiaris Paulini Nolani.csv",431
fere 60 ,130,D. Iunius Iuuenalis,D. Iunius Iuuenalis.csv,130
fere 310 ,394,"D. Magnus Ausonius, Burdigalensis","D. Magnus Ausonius, Burdigalensis.csv",394
† 384,NA,Damasus papa,Damasus papa.csv,384
fere 106 , 43 a.,Decimus Laberius,Decimus Laberius.csv,-43
aetate Augusti,NA,Domitius Marsus,Domitius Marsus.csv,14
aetate Augusti?,NA,Dorcatius,Dorcatius.csv,14
saec. I a.,NA,Egnatius,Egnatius.csv,-100
† 657,NA,"Eugenius, archiepiscopus Toletanus","Eugenius, archiepiscopus Toletanus.csv",657
saec. VI in.,NA,"Eugippius, abbas castelli Lucullani prope Neapolim","Eugippius, abbas castelli Lucullani prope Neapolim.csv",500
saec. V?,NA,"Fabius Claudius Gordianus Planciades Fulgentius, Afer","Fabius Claudius Gordianus Planciades Fulgentius, Afer.csv",450
saec. IV,NA,Faltonia Betitia Proba,Faltonia Betitia Proba.csv,350
saec. VI me.,NA,"Fl. Cresconius Corippus, Afer","Fl. Cresconius Corippus, Afer.csv",550
cos. 331,NA,Flauius Ablabius,Flauius Ablabius.csv,331
saec. II ex.?,NA,Flauius Caper,Flauius Caper.csv,199
saec. VI in.,NA,Flauius Felix Florentinus,Flauius Felix Florentinus.csv,500
saec. VI in.,NA,"Flauius Felix, Africanus","Flauius Felix, Africanus.csv",500
saec. V me.,NA,Flauius Merobaudes,Flauius Merobaudes.csv,450
floruit 526 ,527,Flauius Theodorus,Flauius Theodorus.csv,527
saec. VI ex.?,NA,"Flauius, episcopus Cabilonensis","Flauius, episcopus Cabilonensis.csv",599
fere 180 , 103 a.,Gaius Lucilius,Gaius Lucilius.csv,-103
Lucretii sodalis,NA,Gaius Memmius,Gaius Memmius.csv,-55
saec. I a.,NA,Gannius,Gannius.csv,-50
15 a. , 19 p.,Germanicus Caesar,Germanicus Caesar.csv,19
fere 510 ,570,"Gildas, monachus Britannus","Gildas, monachus Britannus.csv",570
saec. I a.,NA,Gnaeus Matius,Gnaeus Matius.csv,-50
fere 270 , 201 a.,Gnaeus Naeuius,Gnaeus Naeuius.csv,-201
aetate Augusti,NA,Gracchus poeta,Gracchus poeta.csv,14
aetate Augusti,NA,Grattius,Grattius.csv,14
76,138,Hadrianus imperator,Hadrianus imperator.csv,138
fere 347 ,420,Hieronymus Stridonensis,Hieronymus Stridonensis.csv,420
401,449,"Hilarius, episcopus Arelatensis","Hilarius, episcopus Arelatensis.csv",449
† 367,NA,"Hilarius, episcopus Pictauiensis","Hilarius, episcopus Pictauiensis.csv",367
saec. V ex.,NA,Honoratus Massiliensis,Honoratus Massiliensis.csv,499
saec. VII me.,NA,"Ionas, monachus Bobiensis","Ionas, monachus Bobiensis.csv",650
fere 560 ,636,"Isidorus, episcopus Hispalensis","Isidorus, episcopus Hispalensis.csv",636
642,690,"Iulianus, archiepiscopus Toletanus","Iulianus, archiepiscopus Toletanus.csv",690
aetate Augusti,NA,Iulius Montanus,Iulius Montanus.csv,14
cos. 338,NA,Iulius Valerius Alexander Polemius,Iulius Valerius Alexander Polemius.csv,338
aetate Hadriani,NA,L. Annaeus Florus,L. Annaeus Florus.csv,138
4 a.? , 65 p.,"L. Annaeus Seneca, Cordubensis","L. Annaeus Seneca, Cordubensis.csv",65
† 376,NA,L. Aurelius Avianius Symmachus,L. Aurelius Avianius Symmachus.csv,376
aetate Constantini,NA,L. Caecilius Firmianus Lactantius,L. Caecilius Firmianus Lactantius.csv,337
saec. I me.,NA,L. Iunius Moderatus Columella,L. Iunius Moderatus Columella.csv,50
fere 284 , 204 a.,L. Liuius Andronicus,L. Liuius Andronicus.csv,-204
Vergilio maior natu,NA,L. Varius Rufus,L. Varius Rufus.csv,-19
† 97,NA,L. Verginius Rufus,L. Verginius Rufus.csv,97
saec. I a.,NA,Laeuius,Laeuius.csv,-50
† 661,NA,Lathcen,Lathcen.csv,661
saec. IV , V,"Licentius, Augustini familiaris","Licentius, Augustini familiaris.csv",430
Senecae familiaris,NA,Lucilius iunior,Lucilius iunior.csv,65
170, 86 a.,Lucius Accius,Lucius Accius.csv,-86
fere 125 ,170,"Lucius Apuleius, Madaurensis","Lucius Apuleius, Madaurensis.csv",170
saec. I a.,NA,Lucius Manilius,Lucius Manilius.csv,-50
saec. I a. in.,NA,"Lucius Pomponius, comicus Bononiensis","Lucius Pomponius, comicus Bononiensis.csv",-100
† 46 a.,NA,Lucius Ticidas,Lucius Ticidas.csv,-46
"amicus Senecae filii, cos. suff. 42",44,Lucius Vagellius,Lucius Vagellius.csv,44
saec. VI in.,NA,"Luxurius, Carthaginiensis","Luxurius, Carthaginiensis.csv",500
aetate Augusti,NA,Lygdamus,Lygdamus.csv,14
39,65,M. Annaeus Lucanus,M. Annaeus Lucanus.csv,65
saec. III,NA,"M. Aurelius Olympius Nemesianus, Carthaginiensis","M. Aurelius Olympius Nemesianus, Carthaginiensis.csv",250
cos. 143,NA,"M. Cornelius Fronto, Cirtensis","M. Cornelius Fronto, Cirtensis.csv",143
saec. I a.,NA,M. Furius Bibaculus,M. Furius Bibaculus.csv,-50
saec. II , I a.,"M. Seuius Nicanor, grammaticus","M. Seuius Nicanor, grammaticus.csv",-50
116, 27 a.,"M. Terentius Varro, Reatinus","M. Terentius Varro, Reatinus.csv",-27
106, 43 a.,M. Tullius Cicero,M. Tullius Cicero.csv,-43
fere 40 ,103,M. Valerius Martialis,M. Valerius Martialis.csv,103
saec. V/1,NA,Macrobius Ambrosius Theodosius,Macrobius Ambrosius Theodosius.csv,450
† 521,NA,Magnus Felix Ennodius,Magnus Felix Ennodius.csv,521
aetate Theodosii,NA,Marcellus,Marcellus.csv,395
121,180,Marcus Aurelius imperator,Marcus Aurelius imperator.csv,180
aetate Tiberii,NA,Marcus Manilius,Marcus Manilius.csv,37
fere 220 , 130 a.,Marcus Pacuuius,Marcus Pacuuius.csv,-130
saec. VI ex.,NA,"Marcus, monachus Casinensis","Marcus, monachus Casinensis.csv",599
aetate Hadriani,NA,Marianus,Marianus.csv,138
† post 362,NA,"Marius Victorinus, philosophus","Marius Victorinus, philosophus.csv",362
† 594,NA,"Marius, episcopus Auenticensis","Marius, episcopus Auenticensis.csv",594
saec. V,NA,"Martianus Minneius Felix Capella, Carthaginiensis","Martianus Minneius Felix Capella, Carthaginiensis.csv",450
† 579,NA,"Martinus, episcopus Bracariensis","Martinus, episcopus Bracariensis.csv",579
aetate Antoninorum,NA,"Marullus, mimographus","Marullus, mimographus.csv",180
saec. VI me.,NA,Maximianus poeta,Maximianus poeta.csv,550
saec. I a.?,NA,Mummius,Mummius.csv,-50
saec. I a.?,NA,Naeuius iunior,Naeuius iunior.csv,-50
saec. I a.?,NA,Ninnius Crassus,Ninnius Crassus.csv,-50
saec. I a. in.,NA,Nouius,Nouius.csv,-100
saec. III , IV?,opuscula Catoni perperam adscripta,opuscula Catoni perperam adscripta.csv,300
saec. V in.,NA,"Orientius, episcopus Ausciensis (?)","Orientius, episcopus Ausciensis (?).csv",400
43 a. , 17/18 p.,P. Ouidius Naso,P. Ouidius Naso.csv,18
fere 45 ,96,P. Papinius Statius,P. Papinius Statius.csv,96
Catulli aequalis,NA,"P. Terentius Varro, Atacinus","P. Terentius Varro, Atacinus.csv",-55
70, 19 a.,P. Vergilius Maro,P. Vergilius Maro.csv,-19
saec. V in.?,NA,Palladius Rutilius Taurus Aemilianus,Palladius Rutilius Taurus Aemilianus.csv,400
aetate Augusti,NA,panegyricus in Messallam,panegyricus in Messallam.csv,14
saec. II , I a.,Papinius siue Pomponius,Papinius siue Pomponius.csv,-50
fere 500,NA,"Parthenius, presbyter Africanus","Parthenius, presbyter Africanus.csv",500
376, fere 460,"Paulinus Pellaeus, Gallus","Paulinus Pellaeus, Gallus.csv",460
saec. V,NA,Paulinus Petricordiae,Paulinus Petricordiae.csv,450
saec. V in.,NA,"Paulinus, episcopus Baeterrensis","Paulinus, episcopus Baeterrensis.csv",400
saec. IV,NA,Paulus Quaestor,Paulus Quaestor.csv,350
saec. III , IV?,Pentadius,Pentadius.csv,350
† 66,NA,Petronius Arbiter,Petronius Arbiter.csv,66
saec. I p.,NA,"Phaedrus, Augusti libertus","Phaedrus, Augusti libertus.csv",14
saec. V in.?,NA,"Phocas, grammaticus urbis Romae","Phocas, grammaticus urbis Romae.csv",400
saec. II , I a.,"Pompilius, tragoediographus","Pompilius, tragoediographus.csv",-50
cos. suff. 44 p.,NA,Pomponius Secundus,Pomponius Secundus.csv,44
fere 353 ,431,"Pontius Meropius Paulinus, episcopus Nolanus","Pontius Meropius Paulinus, episcopus Nolanus.csv",431
saec. II a. ex.,NA,Porcius Licinus,Porcius Licinus.csv,-100
saec. VI in.,NA,"Priscianus Caesariensis, grammaticus","Priscianus Caesariensis, grammaticus.csv",500
saec. V in.,NA,Priscillianista quidam,Priscillianista quidam.csv,400
saec. V,NA,"Prosper Tiro, Aquitanus","Prosper Tiro, Aquitanus.csv",450
saec. IV , V,pseudo Cyprianus Carthaginiensis,pseudo Cyprianus Carthaginiensis.csv,450
post 650,NA,pseudo Isidorus,pseudo Isidorus.csv,650
saec. IV , V,pseudo Probus,pseudo Probus.csv,450
aetate Constantini,NA,Publilius Optatianus Porfyrius,Publilius Optatianus Porfyrius.csv,337
saec. I a.,NA,Publilius Syrus,Publilius Syrus.csv,-50
saec. I a.,NA,"Pupius, tragoediographus","Pupius, tragoediographus.csv",-50
fere 340 ,402,Q. Aurelius Symmachus,Q. Aurelius Symmachus.csv,402
65, 8 a.,Q. Horatius Flaccus,Q. Horatius Flaccus.csv,-8
† 87 a.,NA,Q. Lutatius Catulus,Q. Lutatius Catulus.csv,-97
trib. pl. 54 a.,NA,Q. Mucius Scaeuola,Q. Mucius Scaeuola.csv,-54
fere 160 ,220,"Q. Septimius Florens Tertullianus, Carthaginiensis","Q. Septimius Florens Tertullianus, Carthaginiensis.csv",220
fere 130 , 82 a.,Q. Valerius Soranus,Q. Valerius Soranus.csv,-82
† 41 a.,NA,Quintus Cornificius,Quintus Cornificius.csv,-41
239,169 a.,Quintus Ennius,Quintus Ennius.csv,-169
saec. IV ex.?,NA,Quintus Serenus,Quintus Serenus.csv,300
102, 43 a.,"Quintus Tullius Cicero, Marci frater","Quintus Tullius Cicero, Marci frater.csv",-43
aetate Augusti,NA,Rabirius,Rabirius.csv,14
† 533,NA,"Remigius, episcopus Remensis","Remigius, episcopus Remensis.csv",533
saec. III , IV?,Reposianus,Reposianus.csv,350
saec. V ex.,NA,"Rufinus, grammaticus Antiochensis","Rufinus, grammaticus Antiochensis.csv",499
saec. IV,NA,Rufius Festus Auienus,Rufius Festus Auienus.csv,350
fere 440 ,507,"Ruricius, episcopus Lemovicensis","Ruricius, episcopus Lemovicensis.csv",507
saec. V,NA,Rusticius Helpidius Domnulus,Rusticius Helpidius Domnulus.csv,450
saec. V in.,NA,Rutilius Claudius Namatianus,Rutilius Claudius Namatianus.csv,410
saec. I a.,NA,Santra,Santra.csv,-50
aetate Domitiani,NA,Scaeuus Memor,Scaeuus Memor.csv,96
saec. V in.,NA,Sedulius presbyter,Sedulius presbyter.csv,400
aetate Traiani,NA,Sentius Augurinus,Sentius Augurinus.csv,117
aetate Hadriani?,NA,Septimius Serenus,Septimius Serenus.csv,138
saec. IV ex.,NA,"Seuerus Endelechius, rhetor Gallus","Seuerus Endelechius, rhetor Gallus.csv",399
saec. VI ex.,NA,"Seuerus, episcopus Malacitanus (?)","Seuerus, episcopus Malacitanus (?).csv",599
saec. I a.,NA,Sextilius Ena,Sextilius Ena.csv,-50
aetate Tiberii,NA,Sextus Paconianus,Sextus Paconianus.csv,37
fere 50 , 15 a.,Sextus Propertius,Sextus Propertius.csv,-15
saec. VII me.,NA,Sisbertus Toletanus,Sisbertus Toletanus.csv,650
regn. 612 ,620,"Sisebutus, rex Visigothorum","Sisebutus, rex Visigothorum.csv",620
saec. I a.,NA,Sueius,Sueius.csv,-50
aetate Domitiani,NA,"Sulpicia, Caleni uxor","Sulpicia, Caleni uxor.csv",96
saec. V in.,NA,Symphosius scholasticus,Symphosius scholasticus.csv,400
aetate Neronis,NA,T. Calpurnius Siculus,T. Calpurnius Siculus.csv,68
fere 97 , 55 a.,T. Lucretius Carus,T. Lucretius Carus.csv,-55
† 77 a.,NA,T. Quintius Atta,T. Quintius Atta.csv,-77
saec. III in.,NA,Terentianus Maurus,Terentianus Maurus.csv,200
"cos. 68, † 101",NA,Ti. Catius Asconius Silius Italicus,Ti. Catius Asconius Silius Italicus.csv,101
saec. II a.,NA,"Titinius, comicus","Titinius, comicus.csv",-150
saec. II a. , aet. Augusti,tragici incerti,tragici incerti.csv,14
saec. I a.,NA,"Tullius Laurea, Ciceronis libertus","Tullius Laurea, Ciceronis libertus.csv",-50
aetate Domitiani,NA,Turnus,Turnus.csv,96
saec. II , IV,uersus ex Historia Augusta,uersus ex Historia Augusta.csv,350
saec. I a. , I p.,uersus in Caesares ex historia C. Suetonii Tranquilli,uersus in Caesares ex historia C. Suetonii Tranquilli.csv,50
saec. II , I a.,Valerius Aedituus,Valerius Aedituus.csv,-50
saec. I ex.,NA,Valerius Flaccus,Valerius Flaccus.csv,99
saec. I a.?,NA,Valerius,Valerius.csv,-50
cos. suff. 12 a.,NA,Valgius Rufus,Valgius Rufus.csv,-12
† 601,NA,"Venantius Honorius Clementianus Fortunatus, episcopus Pictaviensis","Venantius Honorius Clementianus Fortunatus, episcopus Pictaviensis.csv",601
† 552,NA,"Verecundus, episcopus Iuncensis","Verecundus, episcopus Iuncensis.csv",552
aetate Augusti,NA,Verrius Flaccus,Verrius Flaccus.csv,14
saec. III , IV?,Vespa,Vespa.csv,350
saec. V?,NA,Victorinus,Victorinus.csv,450
saec. II a.,NA,Volcacius Sedigitus,Volcacius Sedigitus.csv,-150
saec. I a.,NA,Volumnius,Volumnius.csv,-50
regn. 672 ,680,"Wamba, rex Visigothorum","Wamba, rex Visigothorum.csv",680